FacultyID  ,Category ,Preference 1                                                    ,Preference 2                                                    ,Preference 3                                                    ,Preference 4                                                 ,Preference 5                                                    ,Preference 6                                                    ,Preference 7                                                    ,Preference 8                                                    ,Preference 9                                               ,Preference 10                                                ,Preference 11                                                ,Preference 12
10  ,x2       ,HDELE - CHE G613 - ADVANCED MASS TRANSFER                       ,HDCDC - EEE G612 - CODING THEORY AND PRACTICE                   ,HDCDC - INSTR F312 - TRANSD & MEASUREMENT SYS                   ,FDELE - HSS F372 - INTRODUCTION TO  SOCIAL PSYCHO            ,HDELE - MEL G623 - ADVANCED VLSI DESIGN                         ,FDCDC - CHE F313 - SEPARATION PROCESSES II                      ,FDCDC - ECON F354 - DERIVATIVES &  RISK MGMT                    ,FDELE - CHEM F110 - CHEMISTRY LABORATORY                        ,FDELE - HSS F332 - CINEMATIC ART                           ,FDCDC - CHE F266 - STUDY PROJECT                             ,FDELE - HSS F365 - SCIENCE OF SUSTAINABLE HAPPINESS          ,FDCDC - MATH F491 - SPECIAL PROJECT
11  ,x3       ,FDELE - BIO F491 - SPECIAL PROJECT                              ,FDELE - CHEM F110 - CHEMISTRY LABORATORY                        ,HDCDC - ME F212 - FLUID MECHANICS                               ,FDCDC - ECON F354 - DERIVATIVES &  RISK MGMT                 ,FDCDC - ECE F366 - LABORATORY PROJECT                           ,HDELE - MEL G624 - ADV VLSI ARCHITECTURES                       ,FDELE - MATH F421 - COMBINATORIAL MATHS                         ,FDELE - HSS F371 - CITIES-LIFE ISSUES & CONFLICTS               ,FDCDC - BITS F316 - NONLINEAR DYNAMICS AND CHAOS           ,FDCDC - CHEM F266 - STUDY PROJECT                            ,HDCDC - ME F315 - ADVANCED MANUFACTURING PROCESS             ,HDELE - ME F316 - MANUFACTURING MANAGEMENT
12  ,x3       ,FDCDC - CHE F421 - BIOCHEMICAL ENGINEERING                      ,HDELE - ME F316 - MANUFACTURING MANAGEMENT                      ,HDELE - BITS G511 - ADVANCED PROJECT                            ,HDCDC - BITS G563T - DISSERTATION                            ,FDCDC - INSTR F491 - SPECIAL PROJECT                            ,HDCDC - ME F217 - APPLIED THERMODYNAMICS                        ,FDELE - HSS F371 - CITIES-LIFE ISSUES & CONFLICTS               ,FDCDC - CHE F314 - PROCESS DES PRINCIPLES I                     ,FDELE - CHEM F212 - ORGANIC CHEMISTRY I                    ,FDELE - PHY F215 - INTRO TO ASTRO & ASTROPH                  ,FDELE - ECON F313 - ISSUES IN ECONOMIC DEV                   ,FDCDC - EEE F214 - ELECTRONIC DEVICES
13  ,x2       ,HDCDC - EEE G613 - ADVANCED DIGITAL SIGNAL PROCESSING           ,FDELE - PHY F491 - SPECIAL PROJECT                              ,FDELE - BIO F491 - SPECIAL PROJECT                              ,FDCDC - MATH F111 - MATHEMATICS-I                            ,HDELE - ME F216 - MATERIAL SCI AND ENGINEERIN                   ,FDCDC - CHE F313 - SEPARATION PROCESSES II                      ,FDELE - BIO F266 - STUDY PROJECT                                ,FDCDC - PHY F212 - ELECTROMAGNETIC THEO I                       ,HDELE - CS G541 - PERVASIVE COMPUTING                      ,FDCDC - MATH F366 - LABORATORY PROJECT                       ,HDCDC - ME F211 - MECHANICS OF SOLIDS                        ,FDELE - EEE F366 - LABORATORY PROJECT
14  ,x2       ,FDELE - CS F429 - NATURAL LANG PROCESS                          ,HDELE - ME F314 - DESIGN OF MACHINE ELEMENTS                    ,HDELE - ME F266 - STUDY PROJECT                                 ,FDELE - CS F407 - ARTIFICIAL INTELLIGENCE                    ,FDCDC - EEE F311 - COMMUNICATION SYSTEMS                        ,HDCDC - BIO G661 - GENE TOXICOLOGY                              ,HDCDC - BIO G525 - ENVIR BIOTECH & WAS MGMT                     ,FDCDC - EEE F214 - ELECTRONIC DEVICES                           ,FDCDC - HSS F313 - INTRO TO CONTEMPRORY ARTS               ,FDELE - CS F491 - SPECIAL PROJECT                            ,FDCDC - PHY F111 - MECH OSCIL & WAVES                        ,FDELE - HSS F379 - INTRODUCTION TO PHILOSOPHY OF SCIENCE
15  ,x3       ,FDELE - EEE F366 - LABORATORY PROJECT                           ,FDELE - BITS F110 - ENGINEERING GRAPHICS                        ,FDELE - PHY F491 - SPECIAL PROJECT                              ,HDELE - BITS G654 - ADV INSTRUMENTATION TECH                 ,FDCDC - CHEM F376 - DESIGN PROJECT                              ,FDCDC - ECON F214 - ECONOMIC ENV OF BUSINESS                    ,FDCDC - MATH F312 - ORDINARY DIFF EQUATIONS                     ,HDELE - CS G623 - ADVANCED OPERAT SYSTEMS                       ,HDCDC - BIO G532 - BIOSTATISTICS AND BIOMODELLING          ,FDELE - BIO F111 - GENERAL BIOLOGY                           ,HDCDC - BIO G512 - MOLEC MECH OF GENE EXPRE                  ,FDCDC - BIO F213 - CELL BIOLOGY
16  ,x3       ,HDELE - CS G541 - PERVASIVE COMPUTING                           ,FDCDC - CHE F422 - PETROLEUM REFINING TECHNOLOGY                ,FDCDC - PHY F212 - ELECTROMAGNETIC THEO I                       ,FDELE - CS F301 - PRINCIPLES OF PROGG LANG                   ,HDCDC - ME F485 - NUM TECH FL FLOW & HEAT TRANS                 ,FDCDC - CHE F421 - BIOCHEMICAL ENGINEERING                      ,FDCDC - MGTS F211 - PRINCIPLES OF MANAGEMENT                    ,FDELE - FIN F414 - FINANCIAL RISK ANALY & MANAG                 ,HDCDC - EEE G612 - CODING THEORY AND PRACTICE              ,HDELE - BIO G526 - CANCER BIOLOGY                            ,FDELE - CS F407 - ARTIFICIAL INTELLIGENCE                    ,FDELE - MATH F376 - DESIGN PROJECT
17  ,x3       ,HDCDC - ME F212 - FLUID MECHANICS                               ,FDELE - PHY F376 - DESIGN PROJECT                               ,FDCDC - BIO F110 - BIOLOGICAL LABORATORY                        ,FDELE - HSS F337 - ENGLISH LITERARY FORMS AND MOVEMENTS      ,HDELE - ME F376 - DESIGN PROJECT                                ,FDELE - CS F407 - ARTIFICIAL INTELLIGENCE                       ,FDCDC - MATH F212 - OPTIMIZATION                                ,HDCDC - ME F211 - MECHANICS OF SOLIDS                           ,HDELE - BIO G542 - ADVANCED CELL MOLE BIO                  ,FDCDC - BITS F316 - NONLINEAR DYNAMICS AND CHAOS             ,FDCDC - CHE F212 - FLUID MECHANICS                           ,FDELE - EEE F477 - MODEL OF FIELD-EFFECT NANODEV
18  ,x2       ,FDCDC - HSS F313 - INTRO TO CONTEMPRORY ARTS                    ,HDELE - BIO G514 - MOLECULAR IMMUNOLOGY                         ,HDCDC - BITS G562T - DISSERTATION                               ,FDCDC - CHEM F266 - STUDY PROJECT                            ,FDELE - HSS F227 - CROSS CULTURAL SKILLS                        ,HDELE - ME F415 - GAS DYNAMICS                                  ,FDELE - CHE F312 - CHEMICAL ENGG LAB I                          ,FDCDC - CHE F422 - PETROLEUM REFINING TECHNOLOGY                ,FDELE - GS F322 - CRITI ANAL OF LIT & CINE                 ,FDELE - BIO F417 - BIOMOLECULAR MODELING                     ,HDCDC - INSTR F311 - ELECTRO INST & INST TECH                ,FDCDC - CHEM F312 - PHYSICAL CHEMISTRY IV
19  ,x1       ,FDELE - CS F351 - THEORY OF COMPUTATION                         ,FDELE - CS F491 - SPECIAL PROJECT                               ,FDCDC - MATH F491 - SPECIAL PROJECT                             ,HDCDC - CS G518 - INTERNET OF THINGS: DESIGN & DEVELOPMENT   ,FDCDC - CHEM F266 - STUDY PROJECT                               ,HDCDC - ME F211 - MECHANICS OF SOLIDS                           ,FDCDC - GS F231 - DYN OF SOCIAL CHANGE                          ,FDCDC - GS F234 - DEVELOPMENT ECONOMICS                         ,FDELE - HSS F375 - BUS & POL IN COL & POS COL IND          ,HDELE - CHE G622 - ADV CHEMICAL ENGG THERMO                  ,FDELE - CHE F311 - KINETICS & REACTOR DESIG                  ,HDELE - BIO G526 - CANCER BIOLOGY
20  ,x3       ,FDELE - HSS F372 - INTRODUCTION TO  SOCIAL PSYCHO               ,FDCDC - EEE F215 - DIGITAL DESIGN                               ,FDCDC - GS F231 - DYN OF SOCIAL CHANGE                          ,HDCDC - CS G526 - ADV ALGO & COMPLEXITY                      ,FDELE - MATH F376 - DESIGN PROJECT                              ,HDELE - ME F366 - LABORATORY PROJECT                            ,HDCDC - BIO G525 - ENVIR BIOTECH & WAS MGMT                     ,FDCDC - CS F376 - DESIGN PROJECT                                ,FDELE - CS F407 - ARTIFICIAL INTELLIGENCE                  ,FDELE - CS F491 - SPECIAL PROJECT                            ,HDELE - ME G512 - FINITE ELEMENT METHOD                      ,FDCDC - MATH F432 - APPLIED STATISTICAL METHODS
21  ,x2       ,FDCDC - EEE F311 - COMMUNICATION SYSTEMS                        ,HDELE - INSTR F266 - STUDY PROJECT                              ,FDELE - IS F341 - SOFTWARE ENGINEERING                          ,FDELE - CS F429 - NATURAL LANG PROCESS                       ,HDCDC - ME F485 - NUM TECH FL FLOW & HEAT TRANS                 ,FDCDC - MATH F491 - SPECIAL PROJECT                             ,FDCDC - MATH F366 - LABORATORY PROJECT                          ,FDELE - HSS F332 - CINEMATIC ART                                ,FDCDC - CHEM F266 - STUDY PROJECT                          ,HDCDC - ME F212 - FLUID MECHANICS                            ,HDELE - ME F376 - DESIGN PROJECT                             ,FDELE - GS F212 - ENVIRON DEV & CLIMATE CH
22  ,x1       ,HDELE - BITS G553 - REAL TIME SYSTEMS                           ,FDELE - GS F322 - CRITI ANAL OF LIT & CINE                      ,FDCDC - CHE F422 - PETROLEUM REFINING TECHNOLOGY                ,HDCDC - BIO G515 - STEM CELL & REGENER BIO                   ,FDCDC - ECON F354 - DERIVATIVES &  RISK MGMT                    ,FDELE - CHE F214 - ENGINEERING CHEMISTRY                        ,HDCDC - ME F315 - ADVANCED MANUFACTURING PROCESS                ,HDELE - DE G531 - PRODUCT DESIGN                                ,FDELE - CHEM F110 - CHEMISTRY LABORATORY                   ,FDCDC - CHE F491 - SPECIAL PROJECTS                          ,FDCDC - MATH F311 - INTRODUCTION TO TOPOLOGY                 ,FDELE - HSS F235 - INTRODUCTORY PHILOSOPHY
23  ,x3       ,FDCDC - BITS F316 - NONLINEAR DYNAMICS AND CHAOS                ,HDELE - DE G531 - PRODUCT DESIGN                                ,FDELE - ECON F366 - LABORATORY PROJECT                          ,HDELE - ME F216 - MATERIAL SCI AND ENGINEERIN                ,HDCDC - BITS G619 - PROFESSIONAL PRACTICE                       ,FDCDC - CHE F366 - LABORATORY PROJECT                           ,HDCDC - BITS G513 - STUDY IN ADVANCED TOPICS                    ,FDCDC - ECE F266 - STUDY PROJECT                                ,FDELE - PHY F211 - CLASSICAL MECHANICS                     ,FDELE - CHE F214 - ENGINEERING CHEMISTRY                     ,FDCDC - EEE F214 - ELECTRONIC DEVICES                        ,FDELE - EEE F422 - MODERN CONTROL SYSTEMS
24  ,x1       ,FDCDC - MATH F266 - STUDY PROJECT                               ,HDCDC - ME F485 - NUM TECH FL FLOW & HEAT TRANS                 ,FDCDC - INSTR F366 - LABORATORY PROJECT                         ,FDELE - BITS F112 - TECH REPORT WRITING                      ,HDCDC - CHEM G521 - ENVIRONMENTAL CHEMISTRY                     ,FDELE - EEE F422 - MODERN CONTROL SYSTEMS                       ,FDCDC - MATH F312 - ORDINARY DIFF EQUATIONS                     ,FDELE - PHY F376 - DESIGN PROJECT                               ,FDELE - MATH F376 - DESIGN PROJECT                         ,FDCDC - PHY F111 - MECH OSCIL & WAVES                        ,HDELE - INSTR F266 - STUDY PROJECT                           ,HDELE - ME F423 - MICRO-FLUIDICS & ITS APP
25  ,x3       ,HDELE - ME F415 - GAS DYNAMICS                                  ,FDELE - CS F301 - PRINCIPLES OF PROGG LANG                      ,FDELE - CS F407 - ARTIFICIAL INTELLIGENCE                       ,FDELE - BITS F452 - BLOCKCHAIN TECHNOLOGY                    ,HDCDC - CS G519 - SOCIAL MEDIA ANALYTICS                        ,FDCDC - BITS F316 - NONLINEAR DYNAMICS AND CHAOS                ,FDCDC - MATH F311 - INTRODUCTION TO TOPOLOGY                    ,FDCDC - CHEM F376 - DESIGN PROJECT                              ,HDCDC - ME G535 - ADV ENGG MATHEMATICS                     ,FDELE - BITS F315 - INTRODUCTION TO COGNITIVE NEUR           ,FDCDC - ECON F266 - STUDY ORIENTED PROJECT                   ,HDELE - ME F376 - DESIGN PROJECT
26  ,x2       ,FDELE - EEE F366 - LABORATORY PROJECT                           ,HDCDC - MEL G631 - PHY & MO OF MICROEL DEV                      ,HDCDC - EEE G613 - ADVANCED DIGITAL SIGNAL PROCESSING           ,FDCDC - ECE F366 - LABORATORY PROJECT                        ,FDELE - BITS F415 - INTRODUCTION TO MEMS                        ,HDELE - ME F314 - DESIGN OF MACHINE ELEMENTS                    ,FDCDC - MATH F266 - STUDY PROJECT                               ,FDCDC - CHE F314 - PROCESS DES PRINCIPLES I                     ,FDCDC - EEE F215 - DIGITAL DESIGN                          ,FDELE - BITS F315 - INTRODUCTION TO COGNITIVE NEUR           ,FDELE - EEE F491 - SPECIAL PROJECT                           ,HDELE - ME F366 - LABORATORY PROJECT
27  ,x1       ,HDELE - CS G527 - CLOUD COMPUTING                               ,"FDELE - BIO F216 - WATER,SANITATION & SOLID WASTE"             ,"FDCDC - BIO F217 - LAB FOR WATER, SANITATION & SOLID WASTE"    ,FDCDC - CHE F313 - SEPARATION PROCESSES II                   ,FDELE - ECON F366 - LABORATORY PROJECT                          ,FDCDC - HSS F338 - COMPARATIVE INDIAN LITERATURE                ,FDELE - EEE F422 - MODERN CONTROL SYSTEMS                       ,HDCDC - BITS G540 - RESEARCH PRACTICE                           ,FDCDC - HSS F340 - POST COLONIAL LITERATURES               ,HDELE - BITS G654 - ADV INSTRUMENTATION TECH                 ,HDCDC - BIO G515 - STEM CELL & REGENER BIO                   ,FDELE - PHY F211 - CLASSICAL MECHANICS
28  ,x3       ,FDELE - EEE F428 - ENERGY STORAGE SYSTEMS                       ,FDCDC - PHY F311 - QUANTUM MECHANICS II                         ,FDELE - CS F213 - OBJECT ORIENTED PROG                          ,HDCDC - ME F315 - ADVANCED MANUFACTURING PROCESS             ,FDCDC - MATH F311 - INTRODUCTION TO TOPOLOGY                    ,HDELE - DE G531 - PRODUCT DESIGN                                ,FDELE - EEE F491 - SPECIAL PROJECT                              ,FDCDC - CHE F491 - SPECIAL PROJECTS                             ,FDELE - HSS F232 - INTRO TO DEV STUDIES                    ,FDCDC - EEE F214 - ELECTRONIC DEVICES                        ,HDCDC - MEL G611 - I C FABRICATION TECH                      ,HDELE - CS G541 - PERVASIVE COMPUTING
29  ,x2       ,FDELE - HSS F372 - INTRODUCTION TO  SOCIAL PSYCHO               ,HDCDC - BIO G512 - MOLEC MECH OF GENE EXPRE                     ,FDCDC - ECON F266 - STUDY ORIENTED PROJECT                      ,HDELE - ME F112 - WORKSHOP PRACTICE                          ,FDELE - CHEM F110 - CHEMISTRY LABORATORY                        ,FDCDC - CHE F366 - LABORATORY PROJECT                           ,FDELE - CHE F214 - ENGINEERING CHEMISTRY                        ,HDELE - ME F316 - MANUFACTURING MANAGEMENT                      ,FDELE - EEE F428 - ENERGY STORAGE SYSTEMS                  ,FDCDC - PHY F212 - ELECTROMAGNETIC THEO I                    ,HDCDC - BITS G529 - RESEARCH PROJECT I                       ,FDCDC - BIO F213 - CELL BIOLOGY
30  ,x1       ,FDELE - HSS F337 - ENGLISH LITERARY FORMS AND MOVEMENTS         ,FDCDC - CHE F212 - FLUID MECHANICS                              ,HDCDC - INSTR F311 - ELECTRO INST & INST TECH                   ,FDELE - ECON F313 - ISSUES IN ECONOMIC DEV                   ,HDCDC - BITS G540 - RESEARCH PRACTICE                           ,HDELE - BIO G523 - ADV & APPLIED MICROBIO                       ,"FDCDC - BIO F217 - LAB FOR WATER, SANITATION & SOLID WASTE"    ,FDELE - BIO F417 - BIOMOLECULAR MODELING                        ,FDCDC - CS F446 - DATA STORAGE TECH & NETW                 ,FDELE - CS F351 - THEORY OF COMPUTATION                      ,FDCDC - GS F234 - DEVELOPMENT ECONOMICS                      ,HDELE - BITS G561T - DISSERTATION
31  ,x2       ,HDCDC - ME F211 - MECHANICS OF SOLIDS                           ,HDCDC - ME F212 - FLUID MECHANICS                               ,FDCDC - ECON F376 - DESIGN PROJECT                              ,HDELE - ME G512 - FINITE ELEMENT METHOD                      ,FDELE - CHEM F431 - SUSTAINABLE CHEMISTRY USING RENEWABLES      ,FDELE - IS F341 - SOFTWARE ENGINEERING                          ,FDCDC - CHEM F376 - DESIGN PROJECT                              ,FDELE - HSS F371 - CITIES-LIFE ISSUES & CONFLICTS               ,FDELE - ECON F313 - ISSUES IN ECONOMIC DEV                 ,FDCDC - EEE F311 - COMMUNICATION SYSTEMS                     ,HDELE - ME F316 - MANUFACTURING MANAGEMENT                   ,FDCDC - MATH F366 - LABORATORY PROJECT
32  ,x3       ,FDELE - HSS F372 - INTRODUCTION TO  SOCIAL PSYCHO               ,FDELE - CHEM F333 - CHEMISTRY OF MATERIALS                      ,FDELE - ECON F313 - ISSUES IN ECONOMIC DEV                      ,FDCDC - HSS F313 - INTRO TO CONTEMPRORY ARTS                 ,FDELE - HSS F365 - SCIENCE OF SUSTAINABLE HAPPINESS             ,FDCDC - MATH F215 - ALGEBRA I                                   ,HDCDC - MEL G611 - I C FABRICATION TECH                         ,FDCDC - MATH F491 - SPECIAL PROJECT                             ,FDCDC - MATH F353 - STATISTICAL INFER & APP                ,HDCDC - EEE G512 - EMBEDDED SYSTEM DESIGN                    ,HDELE - CS G541 - PERVASIVE COMPUTING                        ,HDELE - ME F366 - LABORATORY PROJECT
33  ,x2       ,HDELE - ME F366 - LABORATORY PROJECT                            ,FDELE - HSS F337 - ENGLISH LITERARY FORMS AND MOVEMENTS         ,HDCDC - MEL G611 - I C FABRICATION TECH                         ,FDELE - BITS F452 - BLOCKCHAIN TECHNOLOGY                    ,FDCDC - CHE F376 - DESIGN PROJECT                               ,FDCDC - CHEM F313 - INSTRU METHODS OF ANAL                      ,HDCDC - MEL G631 - PHY & MO OF MICROEL DEV                      ,FDELE - CHE F414 - TRANSPORT PHENOMENA                          ,HDELE - BIO G523 - ADV & APPLIED MICROBIO                  ,FDELE - CS F468 - INFORMATION SECURITY PROJECT               ,"FDCDC - BIO F217 - LAB FOR WATER, SANITATION & SOLID WASTE" ,FDCDC - HSS F233 - MAIN TRENDS IN INDIAN HISTORY
34  ,x1       ,HDELE - CHE G513 - ENVIRONMENTAL MANAGEMENT SYSTEMS             ,HDELE - EE G501 - ENVIRONMENTAL SAMPLING AND ANALYTICAL METHODS ,FDCDC - CHE F491 - SPECIAL PROJECTS                             ,FDELE - CHEM F333 - CHEMISTRY OF MATERIALS                   ,FDELE - EEE F477 - MODEL OF FIELD-EFFECT NANODEV                ,FDCDC - CHEM F266 - STUDY PROJECT                               ,HDCDC - ME F485 - NUM TECH FL FLOW & HEAT TRANS                 ,FDELE - ECON F355 - BUSS ANAL & VALUATION                       ,FDCDC - MATH F353 - STATISTICAL INFER & APP                ,HDCDC - BITS G563T - DISSERTATION                            ,FDCDC - CHEM F376 - DESIGN PROJECT                           ,FDELE - PHY F346 - LASER SCIENCE AND TECHNOLOGY
35  ,x2       ,FDCDC - EEE F266 - STUDY PROJECT                                ,HDELE - CHE G613 - ADVANCED MASS TRANSFER                       ,HDELE - EE G501 - ENVIRONMENTAL SAMPLING AND ANALYTICAL METHODS ,HDCDC - CS G526 - ADV ALGO & COMPLEXITY                      ,FDCDC - CHE F266 - STUDY PROJECT                                ,FDELE - BIO F266 - STUDY PROJECT                                ,FDELE - BITS F415 - INTRODUCTION TO MEMS                        ,FDCDC - MATH F432 - APPLIED STATISTICAL METHODS                 ,FDELE - BITS F452 - BLOCKCHAIN TECHNOLOGY                  ,FDCDC - CHE F313 - SEPARATION PROCESSES II                   ,HDCDC - MEL G625 - ADV ANALOG & MIX SIG DES                  ,"FDELE - BIO F216 - WATER,SANITATION & SOLID WASTE"
